item_code,item_name,sale_rate,purchase_rate,total_per_margin,store_per,sukhjeet_per
808042000442,AYUR HERBAL SHMP 1000ML,200,170,15,10,5
8901052021192,TATA TEA AGNI 1KG,199,166,16.58291457,10,6.582914573
8901071700467,Maha Lacto,48,40,16.66666667,10,6.666666667
8901063142015,Nutri Bui,18,17.5028,2.762222222,1,1.762222222
690225103626,INDIA GATE FR RICE 1KG,62,50,19.35483871,8,11.35483871
8906014642491,GINNI COTTON SEED 1LTR,87,79.5,8.620689655,4,4.620689655
8906014643870,GAGAN KACHI GHANI(A)1LTR,117,105,10.25641026,5,5.256410256
4902430668538,TIDE PLUS DETERGENT 1 KG,87,76.87,11.64367816,7,4.643678161
8901192107626,Catch Haldi Powder 500g,110,91.25,17.04545455,10,7.045454545
8901052000807,TATA TEA GOLD 250gm,105,98,6.666666667,3,3.666666667
8901023009426,GODREJ KESAR M-C,65,57.5,11.53846154,5,6.538461538
8901030584442,VIM BAR SETT 30/-,28,26.5,5.357142857,2,3.357142857
8906030941547,Victory Ijwain,55,35,36.36363636,15,21.36363636
8906030941295,Voctory Souff,40,26,35,15,20
89006733,NESCAFE COFFE 25GM,68,63,7.352941176,3,4.352941176
8902167000102,MDH KITCHEN KING 100G,56,47.88,14.5,8,6.5
8901063092297,Britania G D Rich Butr Cokies 150G,19,17.33,8.789473684,4,4.789473684
8906030943046,Victory Black Pepper,114,96,15.78947368,8,7.789473684
8901058842722,MAGGI MASALA 12/-,11,10.68,2.909090909,1,1.909090909
8901725181222,SUNFEAST YIPPEE NDLS 80G,10,8.86,11.4,6,5.4
8901063016590,Britania 50-50 Swt&Slt 100G,10,8.63,13.7,6,7.7
8901030584121,WHEEL POWDER 1KG,47,42.6,9.361702128,5,4.361702128
8901058842746,MAGGI MASALA 4PACK,44,40.42,8.136363636,5,3.136363636
8902102160144,Maya Jasmine Agarbathi,9,6.16667,31.48144444,15,16.48144444
8901157025217,HIT-BLACK425ML,160,144,10,6,4
89006740,NESCAFE COFFE 50GM,127,117,7.874015748,4,3.874015748
8901571001088,ENO LEMON FLAVOUR,39,34.17,12.38461538,8,4.384615385
8901030556623,VIM Bar,40,38.75,3.125,1.5,1.625
8901052010417,TATA Tea Permium 500G,164,149.5,8.841463415,4.5,4.341463415
8904063200013,HR ALU BHUJIA 200G,42,38.72,7.80952381,4,3.80952381
8901571004614,SENSO GEL 80G,102,87,14.70588235,8,6.705882353
8901030573255,Sunsilk Black 340 ml,185,165,10.81081081,6,4.810810811
8901314200037,Colgate Brush,15,12,20,12,8
8901255000185,Panasonic Battery,7,5.2,25.71428571,15,10.71428571
8901764012501,COCA COLA 2LTR,76,69.4444,8.625789474,4.5,4.125789474
8901233018331,BOURN VITA PRO 500GM,210,190,9.523809524,4.5,5.023809524
8901012111024,J&B TALC 100G,58,48,17.24137931,10,7.24137931
8901396151005,HARPIC PWR PLS ORG 500ML,72,64,11.11111111,6,5.111111111
8901396112006,LIZOL CITRUS 500ML,74,68,8.108108108,4.5,3.608108108
8901030594489,Surfexcel 1KG,105,96,8.571428571,4.5,4.071428571
8901396153108,Harpic Bathroom Cleaner,72,66,8.333333333,4.5,3.833333333
8901030560941,Surfexcel 1.5KG,185,142,23.24324324,15,8.243243243
8901192106223,CATCH RED CHILLI 200G,57,45.26,20.59649123,10,10.59649123
8901314114419,COLGATE MAX 150,87,77,11.49425287,6,5.494252874
8901314114419,COLGATE MAX 150,87,80,8.045977011,4,4.045977011
8901559101519,Nippo Cell,8,7,12.5,4,8.5
8901764022401,FANTA 2LTR,76,69.4444,8.625789474,5,3.625789474
8901764052408,LIMCA 2LR,76,69.4444,8.625789474,5,3.625789474
8904063200440,HR PUNJABI TRKA 200G,46,42.24,8.173913043,5,3.173913043
8904063200204,HR NAVRATTAN 200G,40,36.96,7.6,5,2.6
8901058844917,Every Day 400G Milk,170,161,5.294117647,3,2.294117647
8901030391156,VIM DBLW PWR 250ML,57,52,8.771929825,4.5,4.271929825
8901063016569,Britania 50-50 S&S 50G,5,4.31,13.8,7,6.8
8901030462429,REXONA 4*100=400G,82,68,17.07317073,10,7.073170732
8908000229044,SANJAY WASHING SOAP,59,55.75,5.508474576,3,2.508474576
8902167000034,DEGI MIRCH,50,41.04,17.92,10,7.92
8901192219220,CATCH GARAM M 200G,59,49.64,15.86440678,10,5.86440678
8901192107220,Catch haldi 200G,46,37.96,17.47826087,10,7.47826087
8901052010318,TATA TEA PREMIUM 250G,81,74.75,7.716049383,5,2.716049383
MURUNDA,MURUNDA,30,20,33.33333333,20,13.33333333
Bakery Biscuit Zira 500g,Bakery Biscuit Zira 500g,65,43,33.84615385,20,13.84615385
BOONDI PUDIANA 400GM,BOONDI PUDIANA 400GM,45,32,28.88888889,15,13.88888889
BOONDI 280GM,RAITA BOONDI 280GM,40,32,20,12,8
8901138512460,HIMALAYA NEAM FW 100ML,100,86,14,8,6
Bakery Biscuit jam 500g,Bakery Biscuit jam 500g,70,43,38.57142857,20,18.57142857
ROSTED CHANA,ROSTED CHANA,52,42,19.23076923,10,9.230769231
8901233018355,BOURN-VITA PRO 200GM,98,89,9.183673469,5,4.183673469
8901030560989,RED LABEL 250GM,88,80.5,8.522727273,5,3.522727273
8902102160168,Maya Sandal Agarbatti 20g,9,6.16,31.55555556,15,16.55555556
808042000435,AYUR SHAMPOO 500ML,130,112,13.84615385,8,5.846153846
8904043901015,TATA SALT,17,14.9,12.35294118,8,4.352941176
8906014643023,GAGAN VNSPTI 2LTR,180,160,11.11111111,6,5.111111111
Bakery Biscuit Zira 300g,Bakery Biscuit Zira 300g,42,35,16.66666667,10,6.666666667
Broom Bans,Broom Bans,30,23,23.33333333,10,13.33333333
PETHA,PETHA,30,20,33.33333333,15,18.33333333
8901314116031,COLGATE KIDS2+,18,14.5,19.44444444,10,9.444444444
8906014642484,GINNI COTTON SEED 2L,190,177,6.842105263,3,3.842105263
8901058843590,MAGGI 2-PACK,22,20.63,6.227272727,3,3.227272727
8906014643030,GAGAN VP 1LTR,77,70.5,8.441558442,4.5,3.941558442
8901063162143,BRITANNIA MARRIE GOLD,9,8.75,2.777777778,2,0.777777778
ALLO PAPAD 120GM,ALLO PAPAD 120GM,25,22,12,8,4
8901023007446,NO 1 ROSE WATER,65,57.5,11.53846154,8,3.538461538
8901030565304,FAIR&LOVELY BLUE 25GM,46,42.5,7.608695652,4,3.608695652
8901052024315,TATA TEA AGNI 250G,52,44,15.38461538,7,8.384615385
8901058816129,Every Day Dry Milk 200g,85,81.5,4.117647059,2.5,1.617647059
8902167000089,MDH CHANNA MASALA 100G,50,44.08,11.84,7,4.84
8902167000737,MDH ZIRA PWDR 100G,55,45.6,17.09090909,10,7.090909091
8902167000065,MDH Chunky Chat Masala 100G,55,45.6,17.09090909,10,7.090909091
8902167000164,MDH PCK METHI 25G,23,19,17.39130435,10,7.391304348
8902167000140,MDH MEAT MSLA 100G,58,51.56,11.10344828,7,4.103448276
8906014643788,GAGAN SOYA 15 LTR,1185,1140,3.797468354,1.5,2.297468354
8908001589031,Punjab King 970 ML,375,355,5.333333333,2,3.333333333
